numero_dpe;cout_total_5_usages_energie_n1;cout_chauffage_energie_n1;cout_ecs_energie_n1;cout_total_5_usages_energie_n2;cout_chauffage_energie_n2;cout_ecs_energie_n2;cout_total_5_usages energie_n3;cout_chauffage_energie_n3;cout_ecs_energie_n3;cout_total_5_usages;cout_chauffage;cout_ecs;cout_refroidissement;cout_eclairage;cout_auxiliaires
2338N0082375E;464.1;290.9;119.9;;;;;;;464.1;290.9;119.9;0;37.8;15.5
2138N0565724L;678.1;427.3;250.7;172.8;0;0;;;;755.8;427.3;250.8;0;162.6;10.2
2238N1070599T;141.3;70;71.3;58.5;0;0;;;;165;69.9;71.3;0;43.9;14.6
2238N2855315R;218.9;96.2;122.7;118.3;0;0;;;;264.1;96.3;122.7;0;99.6;18.7
2238N1466155L;272.7;235.8;0;272.7;235.8;0;;;;272.7;235.8;0;0;24.6;12.3
2238N2164855N;453.3;226;227.4;209.1;0;0;;;;534.2;226;227.4;0;139.4;69.7
2238N0654303J;61.3;0;61.3;149.4;149.4;0;318.5;88.2;0;379.1;237.6;61.3;0;165.8;64.5
2338N4066211Q;404;202.1;201.9;81.8;13.9;0.9;;;;485.9;216;202.8;0;44.7;22.4
2338N3901918R;9735;4169;5566;1215;0;0;;;;10950;4169;5566;0;868;116
2438N1701793N;517.8;319.7;137.3;;;;;;;517.8;319.7;137.3;0;36;24.8
2238N0535834W;432.9;264.5;168.4;138.1;0;0;;;;490.5;264.5;168.4;0;129.4;8.6
2238N2869373J;644.4;467;102.7;;;;;;;644.4;467;102.7;0;46.7;28
2338N0381913W;528.4;343.4;144.3;528.4;343.4;144.3;;;;528.4;343.4;144.3;0;26.5;14.2
2438N1111880O;372.5;167.8;204.6;244.2;0;0;;;;458.1;167.8;204.6;0;173;71.2
2338N2560488F;161.4;79.5;81.8;100.5;0;0;;;;197;79.5;81.8;0;89.3;11.2
2338N3901826D;10622;4188;6434;1195;0;0;;;;11817;4188;6434;0;853;114
2338N1955067U;;;;;;;;;;;;;;;
"9 chemin des seites""";;;;;;;;;;;;;;;
2238N0198165P;268.9;125.6;143.3;115;0;0;;;;327.3;125.6;143.3;0;115;0
2338N2629279A;509;346;87;;;;;;;509;346;87;0;45;8
2238N1182416K;263.5;128.3;135.2;153.2;0;0;;;;322.8;128.3;135.2;0;144.7;8.5
