numero_dpe;adresse_ban;numero_voie_ban;nom_rue_ban;nom_commune_ban;code_postal_ban;code_insee_ban;code_departement_ban;code_region_ban;identifiant_ban;coordonnee_cartographique_x_ban;coordonnee_cartographique_y_ban;statut_geocodage;adresse_brut;nom_commune_brut;code_postal_brut
2338N0099308L;Rue du Travail 38230 Pont-de-Chéruy;;Rue du Travail;Pont-de-Chéruy;38230;38316;38;84;38316_0440;868765.44;6519771;adresse non géocodée ban car aucune correspondance trouvée;Rue du Travail Lot 23 Le domaine des aberoux;PONT-DE-CHERUY;38230
2238N1217307J;Avenue de la Republique 38090 Villefontaine;;;Villefontaine;38090;38553;38;84;38553_0710;867925.78;6503673.27;adresse géocodée ban à l'adresse;de la Republique;VILLEFONTAINE;38090
2238N2628472Y;Rue de Nantes 38000 Grenoble;;;Grenoble;38000;38185;38;84;38185_5240;912313.63;6459718.21;adresse géocodée ban à l'adresse;Le Ginkgo;;
"Rue de Nantes""";;2751.6;57;431.9;1375;0;242.9;701.8;1196.4;24;187.8;0;105.6;305.1;80.5
2438N0057501N;Chemin de Tarze 38680 Saint-André-en-Royans;;Chemin de Tarze;Saint-André-en-Royans;38680;38356;38;84;38356_0435;883084.15;6445937.42;adresse géocodée ban à l'adresse;Tarze;ST ANDRE EN ROYANS;38680
2238N2898749F;Boulevard de Saint-hubert 38080 L'Isle-d'Abeau;;Boulevard de Saint-hubert;L'Isle-d'Abeau;38080;38193;38;84;38193_0265;873203.87;6504960.12;adresse non géocodée ban car aucune correspondance trouvée;Rue Stéphane Hessel / Boulevard Saint Hubert / Avenue Henri Bergson;L ISLE D ABEAU, France;38080
2338N0924603O;Rue de lâ€ Eglise 38200 Seyssuel;;Rue de lâ€ Eglise;Seyssuel;38200;38487;38;84;38487_0040;844149.16;6497300.48;adresse géocodée ban à l'adresse;BAT B;;
" Rue De L'eglise""";;5512;64;3023.3;1946.2;0;424.5;117.9;5143.2;60;2987.5;0;184.6;51.3;1122.6
2438N0429564Q;Chemin du Salamot 38210 Tullins;;Chemin du Salamot;Tullins;38210;38517;38;84;38517_0623;895739.63;6470057.26;adresse non géocodée ban car aucune correspondance trouvée;CHEMIN DU SALAMOT;TULLINS;38210
2238N1394041V;2 Rue de l'Atlas 38130 Échirolles;2;Rue de l'Atlas;Échirolles;38130;38151;38;84;38151_0048_00002;912017.5;6453731;adresse géocodée ban à l'adresse;2 rue de l'ATLAS;ECHIROLLES, France;38130
2438N1968956A;Rue de la Liberté 38230 Pont-de-Chéruy;;Rue de la Liberté;Pont-de-Chéruy;38230;38316;38;84;38316_0200;868691.99;6518960.56;adresse non géocodée ban car aucune correspondance trouvée;36 rue de la Liberté;PONT DE CHERUY, France;38230
2138N0306928T;10 Boulevard des Frères Desaire 38170 Seyssinet-Pariset;10;Boulevard des Frères Desaire;Seyssinet-Pariset;38170;38485;38;84;38485_0290_00010;911315.14;6457290.13;adresse géocodée ban à l'adresse;Alp’Inn & Saf’Ari;;
"10 Boulevard des Frères Desaire""";;6789;66;4295.7;1932.9;0;442.5;118;6397.5;63;4245.6;0;192.4;51.3;1404.7
2338N1680764R;Avenue de Claix 38180 Seyssins;;Avenue de Claix;Seyssins;38180;38486;38;84;38486_0350;910601.94;6453856.12;adresse géocodée ban à l'adresse;Résidence Terre Blanche,;;
Bâtiment C;;;;;;;;;;;;;;;
