numero_dpe;besoin_chauffage;besoin_ecs;besoin_refroidissement;besoin_ecs_batiment;besoin_ecs_logement
2338N3466363O;;;;;
2138N0755947S;;;;;
2438N2331250K;;;;;
2138N0566511S;;;;;
2338N3067013Y;;;;;
2338N4365001O;;;;;
2138N0868496N;;;;;
2238N0209779H;;;;;
Lotissement les Frênes;;;;;
"Lieu dit la Buquine""";;;;;
2338N0394037E;;;;;
2238N2283657V;;;;;
"Le Bourg""";;;;;
2238N1580592W;;;;;
"Résidence Gueta""";;;;;
2138N0894231I;;;;;
"Avenue de la Muzelle""";;;;;
2338N1874883U;;;;;
2338N0884818J;;;;;
2338N1955076D;;;;;
"9 chemin des seites""";;;;;
2338N1428700X;;;;;
2338N2372460J;;;;;
2238N2998726M;;;;;
2238N2472641L;;;;;
2338N3961087K;;;;;
2238N3118629D;;;;;
2238N2265132I;;;;;
2238N1684752A;;;;;
2138N0473942J;;;;;
"67/85bis Cours de la Libération""";;;;;
2438N2097802Q;;;;3671999.1;943293.5
2238N2291227Z;;;;;
2438N0913374S;;;;;
2338N0987112T;;;;;
2238N2291301V;;;;;
2238N1146600W;;;;;
2238N1124776M;;;;;
2338N0856124T;;;;;
2238N0580573P;;;;;
2238N3079792K;;;;;
2438N2107938M;;;;;
2338N1099427O;;;;;
2338N1982129Q;;;;;
2338N4171422F;;;;;
"140 Route de Lyon""";;;;;
2338N3347816B;;;;;
2238N0446450A;;;;;
2238N1526540Y;;;;;
2338N3992725G;;;;;
2238N0540439Z;;;;;
2238N2641724Q;;;;;
ZAC Blanche Monier 6 et 8 Rue Joseph François;;;;;
"Girot""";;;;;
2238N2506931H;;;;;
2238N2467728M;;;;;
2338N4171628D;;;;;
"140 Route de Lyon""";;;;;
2238N0773641H;;;;;
2438N2065507N;;;;46884897.9;1203502.1
2238N3111980K;;;;;
2238N1768953N;;;;;
2238N0863801Z;;;;;
"Rue Marguerite Rozand""";;;;;
2338N3009002T;;;;;
2238N3114086K;;;;;
2138N0871128T;;;;;
2338N0790977C;;;;;
